library,flasks,cell_type,virus
humagne,2,suspension,8.8
humagne,5,semi-adherent,1.8
humagne,8,semi-adherent,19.4
humagne,5,adherent,1.6
humagne,3,suspension,3
humagne,5,adherent,1.6
humagne,4,adherent,3.8
humagne,13,adherent,5
humagne,4,adherent,
humagne,3,adherent,1
humagne,3,suspension,1.6
humagne,6,adherent,3.8
humagne,7,adherent,2
humagne,3,suspension,1.9
humagne,5,adherent,1.9
humagne,4,suspension,0.5
humagne,3,adherent,3
humagne,4,suspension,14.4
avana4,4,suspension,44.1
avana4,10,semi-adherent,2.4
avana4,13,semi-adherent,29.48
avana4,16,adherent,21
avana4,4,suspension,14.6
avana4,27,adherent,10.8
avana4,8,adherent,24.2
avana4,20,adherent,10.2
avana4,,adherent,
avana4,5,adherent,6.3
avana4,4,suspension,9
avana4,17,adherent,9.1
avana4,10,adherent,1.9
avana4,5,suspension,5.5
avana4,15,adherent,5.4
avana4,14,suspension,12
avana4,4,adherent,14
avana4,6,suspension,26.5
