cell_line,blast_dose,naive_nnmds,naive_roc_aucs,naive_frac_ness,naive_frac_unexpr,naive_mean_dep_ess,naive_std_dev_ness,cas9_naive_nnmds,cas9_naive_roc_aucs,cas9_naive_frac_ness,cas9_naive_frac_unexpr,cas9_naive_mean_dep_ess,cas9_naive_std_dev_ness
OCUG1,15,-3.002197588,0.813490394,0.070080863,0.067660402,-0.724838328,0.24766223,-2.495458377,0.836129272,0.060810811,0.065871746,-0.846312971,0.33127517
KU812,10,-3.009074475,0.861798054,0.068733154,0.069681997,-0.832030688,0.28036541,-3.597806495,0.923489319,0.028378378,0.040586246,-0.989323594,0.266640949
L363,10,-3.5506178,0.886374505,0.037735849,0.056303847,-1.179058804,0.344345288,-5.212145821,0.946936072,0.02027027,0.022986961,-1.561946748,0.307422046
MC116,10,-5.508865509,0.953007968,0.040431267,0.036359605,-1.650970587,0.310691376,-2.794091131,0.916370704,0.052702703,0.038781502,-0.444096317,0.175094195
SSP25,10,-5.343868531,0.895193362,0.055256065,0.063983903,-1.190896559,0.234429218,-7.352072857,0.963082413,0.025675676,0.033061594,-1.626430729,0.235867156
PATU8988S,10,-2.624334307,0.826813629,0.0606469,0.090236302,-0.789892681,0.313459995,-6.044625809,0.94635627,0.033783784,0.039530843,-0.912683895,0.163835862
MOLM13scc2,8,-4.306146253,0.922108375,0.047169811,0.044891279,-2.407466509,0.554353354,-4.551633636,0.93747216,0.02972973,0.026509763,-0.883068661,0.216930329
NOMO1,8,-3.371506211,0.861199924,0.055256065,0.059352987,-0.871611248,0.270627407,-2.598545562,0.884244449,0.058108108,0.058276413,-0.479976296,0.2037469
NCIH841,8,-4.835437296,0.939109505,0.035040431,0.042201312,-1.330619017,0.291487358,-3.662715661,0.924753723,0.044594595,0.044220945,-0.595556835,0.179600863
DEL,8,-4.863506759,0.909993609,0.041778976,0.043135784,-1.251469967,0.270110129,-4.644796601,0.947917697,0.031081081,0.034032505,-0.897199563,0.212600742
SKES1,8,-3.858132749,0.914743629,0.052560647,0.060196385,-1.019745402,0.276972446,-3.275802235,0.935656737,0.041891892,0.046830201,-0.615940601,0.197386906
HS683,8,-5.155773416,0.892546822,0.057951482,0.057552914,-1.296254887,0.258849128,-4.133471291,0.922299857,0.045945946,0.04841865,-1.059441503,0.263609551
MOLM13,8,-3.554000759,0.909902803,0.047169811,0.055061959,-1.730111195,0.48775566,-4.551633636,0.93747216,0.02972973,0.026509763,-0.883068661,0.216930329
OVCAR8,8,-8.579270926,0.962079417,0.02425876,0.042955801,-2.233616101,0.272867616,-6.098907459,0.967290712,0.031081081,0.029293242,-0.951114209,0.171268248
ZR751,6,-1.469728419,0.747047055,0.090296496,0.085200472,-0.326038877,0.215311111,-5.176214059,0.950992139,0.032432432,0.032029057,-1.488578263,0.303481228
OVISE,5,-4.404328714,0.907395147,0.049865229,0.04789165,-0.916449995,0.219508471,-7.414915699,0.963319718,0.021621622,0.025320413,-1.259423428,0.183769979
KMS18,5,-2.052038524,0.783441747,0.080862534,,-0.525450379,0.254701331,-4.664933217,0.929936499,0.024324324,,-1.017390832,0.235854369
D458,4,-2.494005683,0.873107189,0.0606469,0.061606703,-0.758378121,0.313900808,-4.302141474,0.943260731,0.028378378,0.036503362,-0.98105116,0.2412404
T47D,4,-2.382373529,0.816915697,0.061994609,0.071992379,-0.482484471,0.208011762,-6.5095029,0.937538486,0.027027027,0.031548612,-0.89124,0.152232813
NB1,3,-3.360089747,0.879944873,0.057951482,0.053224961,-0.805754811,0.252620446,-3.110864388,0.886437367,0.035135135,0.040690867,-0.323443172,0.120932823
CHLA06ATRT,3,-3.662956176,0.901030567,0.059299191,0.07426083,-0.803104183,0.233595505,-7.923604345,0.957801249,0.025675676,0.034184776,-1.670847937,0.227796156
KARPAS299,2,-5.4778342,0.895502586,0.056603774,0.053411355,-1.084274975,0.207341357,-6.36798329,0.954950748,0.028378378,0.026344828,-0.768796189,0.134429101
CH157MN,2,-4.459412943,0.910729375,0.057951482,0.055199795,-1.135635769,0.266802325,-4.830215378,0.941391561,0.022972973,0.030789059,-0.873758814,0.200086102
K029AX,2,-2.866296468,0.88988852,0.068733154,0.067238329,-0.555261052,0.199030457,-2.980620934,0.918732448,0.055405405,0.050311598,-0.587354789,0.211073387
